"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
189;50000;"NFTS";2;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:48"
190;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:51"
191;50000;"NFTS";3;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:54"
192;50000;"NFTS";4;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:58"
193;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:01"
194;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:04"
195;50000;"NFTS";4;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:07"
196;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:10"
197;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:13"
198;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:16"
199;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:19"
200;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:22"
201;50000;"NFTS";4;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:25"
202;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:28"
203;50000;"NFTS";4;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:31"
204;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:14:34"
205;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:37"
206;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:40"
207;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:43"
